chr1	1	197618386	197618386	197618386
chr2	1	149682149	149682149	149682149
chr3	1	111838418	111838418	111838418
chr4	1	91315245	91315245	91315245
chr5	1	59819198	59819198	59819198
chr6	1	36374711	36374711	36374711
chr7	1	36742318	36742318	36742318
chr8	1	31219446	31219446	31219446
chr9	1	24153186	24153186	24153186
chr10	1	21119841	21119841	21119841
chr11	1	21211142	21211142	21211142
chr12	1	21387278	21387278	21387278
chr13	1	19166714	19166714	19166714
chr14	1	16219318	16219318	16219318
chr15	1	13162184	13162184	13162184
chr16	1	2844611	2844611	2844611
chr17	1	11762512	11762512	11762512
chr18	1	11373141	11373141	11373141
chr19	1	11323212	11323212	11323212
chr20	1	13897287	13897287	13897287
chr21	1	6844979	6844979	6844979
chr22	1	5459462	5459462	5459462
chr23	1	6149581	6149581	6149581
chr24	1	6491222	6491222	6491222
chr25	1	3981611	3981611	3981611
chr26	1	6155711	6155711	6155711
chr27	1	8181432	8181432	8181432
chr28	1	5116882	5116882	5116882
chr30	1	1818525	1818525	1818525
chr31	1	6153134	6153134	6153134
chr32	1	725831	725831	725831
chr33	1	7821666	7821666	7821666
chrZ	1	82529921	82529921	82529921
